englishname,hebrewname,morphology,definition,transliteration,dictionary
Abi,אֲבִי,pr. n. f.,"[{'definition': 'Abi = ""my father""'}, {'definition': 'mother of Hezekiah (cf  H029)'}]",ab-ee',BDB Augmented Strong
Abigail,אֲבִיגַיִל,pr. n. f.,"[{'definition': 'Abigail = ""my father is joy""'}, {'definition': 'wife of Nabal,  then of David'}, {'definition': 'sister of David'}]",ab-ee-gah'-yil,BDB Augmented Strong
,אֲבִיטָל,pr. n. f.,[],ab-ee-tal',BDB Augmented Strong
Abishag,אֲבִישַׁג,pr. n. f.,"[{'definition': 'Abishag = ""my father is a wanderer""'}, {'definition': ""David's beautiful young nurse""}]",ab-ee-shag',BDB Augmented Strong
Aholah,אׇהֳלָה,pr. n. f.,"[{'definition': 'Aholah = ""her own tent""'}, {'definition': 'Samaria as an adulteress with Assyria (metaph)'}]",o-hol-aw',BDB Augmented Strong
Aholibah,אׇהֳלִיבָה,pr. n. f.,"[{'definition': 'Aholibah = ""woman of the tent"" or ""the tent is in her""'}, {'definition': '(metaph) Jerusalem as adulterous wife of Jehovah'}]",o''-hol-ee-baw',BDB Augmented Strong
Ahinoam,אֲחִינֹעַם,pr. n. f.,"[{'definition': 'Ahinoam = ""my brother is delight""'}, {'definition': 'wife of Saul,  daughter of Ahimaaz'}, {'definition': 'wife of David,  mother of Amnon,  a Jezreelitess'}]",akh-ee-no'-am,BDB Augmented Strong
Ahasbai,אֲחַסְבַּי,pr. n. f.,"[{'definition': 'Ahasbai = ""brother of my encompassers""'}, {'definition': ""father of Eliphelet,  one of David's heroes""}]",akh-as-bah'ee,BDB Augmented Strong
Jezebel,אִיזֶבֶל,pr. n. f.,"[{'definition': 'Jezebel = ""Baal exalts"" or ""Baal is husband to"" or ""unchaste""'}, {'definition': 'queen of Israel,  wife of Ahab, daughter of Ethbaal'}]",ee-zeh'-bel,BDB Augmented Strong
Elisheba,אֱלִישֶׁבַע,pr. n. f.,"[{'definition': 'Elisheba = ""my God has sworn"" or ""God is an oath""'}, {'definition': ""Aaron's wife""}]",el-ee-sheh'-bah,BDB Augmented Strong
Asenath,אָסְנַת,pr. n. f.,"[{'definition': 'Asenath = ""belonging to the goddess Neith""'}, {'definition': 'the wife of Joseph'}]",aw-se-nath',BDB Augmented Strong
Esther,אֶסְתֵּר,pr. n. f.,"[{'definition': 'Esther = ""star""'}, {'definition': 'the queen of Persia,  heroine of the book of Esther-daughter of Abihail,  cousin and adopted daughter of Mordecai, of the tribe of Benjamin,  made queen by king Ahasuerus to replace divorced queen, Vashti.'}]",es-tare',BDB Augmented Strong
,אֲשֵׁרָה,pr. n. f.,[],ash-ay-raw',BDB Augmented Strong
Baara,בָּעֲרָא,pr. n. f.,"[{'definition': 'Baara = ""brutish""'}, {'definition': 'one of the wives of Shaharaim,  a Benjamite'}]",bah-ar-aw',BDB Augmented Strong
Birzavith,בִּרְזוֹת,pr. n. f.,"[{'definition': 'Birzavith or Birzath = ""in leanness: choice olive""'}, {'definition': 'a descendant of Asher'}]",beer-zoth',BDB Augmented Strong
Bashemath,בׇּשְׂמַת,pr. n. f.,"[{'definition': 'Bashemath or Basmath = ""spice""'}, {'definition': 'Hittite wife of Esau,  daughter of Ishmael,  sister of Nebaioth'}, {'definition': ""daughter of Solomon,  wife of Ahimaaz,  one of Solomon's commissariat officers""}]",bos-math',BDB Augmented Strong
Bithiah,בִּתְיָה,pr. n. f.,"[{'definition': 'Bithiah = ""daughter of Jehovah""'}, {'definition': 'a daughter of a Pharaoh and wife of Mered of Judah'}]",bith-yaw',BDB Augmented Strong
